,Nash
486,"[([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0])]"
487,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
488,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.3951043, 0.6048957], [0.69500451, 0.30499549, 0.0]), ([0.41870472, 0.30591045, 0.27538483], [0.16365072, 0.71883441, 0.11751487]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.3951043, 0.6048957], [0.69500451, 0.30499549, 0.0]), ([0.41870472, 0.30591045, 0.27538483], [0.16365072, 0.71883441, 0.11751487]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.3951043, 0.6048957], [0.69500451, 0.30499549, 0.0]), ([0.41870472, 0.30591045, 0.27538483], [0.16365072, 0.71883441, 0.11751487]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
489,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.44984698, 0.55015302, 0.0], [0.0, 0.90494034, 0.09505966]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.44984698, 0.55015302, 0.0], [0.0, 0.90494034, 0.09505966]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.44984698, 0.55015302, 0.0], [0.0, 0.90494034, 0.09505966]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
490,"[([0.0, 0.59908879, 0.40091121], [0.3107309, 0.6892691, 0.0]), ([0.0, 0.59908879, 0.40091121], [0.3107309, 0.6892691, 0.0]), ([0.0, 0.59908879, 0.40091121], [0.3107309, 0.6892691, 0.0]), ([0.0, 0.59908879, 0.40091121], [0.3107309, 0.6892691, 0.0]), ([0.0, 0.59908879, 0.40091121], [0.3107309, 0.6892691, 0.0]), ([0.0, 0.59908879, 0.40091121], [0.3107309, 0.6892691, 0.0]), ([0.0, 0.59908879, 0.40091121], [0.3107309, 0.6892691, 0.0]), ([0.0, 0.59908879, 0.40091121], [0.3107309, 0.6892691, 0.0]), ([0.0, 0.59908879, 0.40091121], [0.3107309, 0.6892691, 0.0]), ([0.0, 0.59908879, 0.40091121], [0.3107309, 0.6892691, 0.0])]"
491,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
492,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.28934662, 0.0, 0.71065338], [0.0, 0.79040698, 0.20959302]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.28934662, 0.0, 0.71065338], [0.0, 0.79040698, 0.20959302]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.28934662, 0.0, 0.71065338], [0.0, 0.79040698, 0.20959302]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
493,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.48512371, 0.0, 0.51487629], [0.11347272, 0.88652728, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.48512371, 0.0, 0.51487629], [0.11347272, 0.88652728, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.48512371, 0.0, 0.51487629], [0.11347272, 0.88652728, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
494,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
495,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.67147295, 0.32852705, 0.0], [0.0, 0.76236113, 0.23763887]), ([0.61176659, 0.0, 0.38823341], [0.02679764, 0.97320236, 0.0]), ([0.0, 0.63939285, 0.36060715], [0.73837903, 0.0, 0.26162097]), ([0.56162888, 0.29846932, 0.1399018], [0.09551606, 0.82586386, 0.07862008]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
496,"[([0.21868242, 0.78131758, 0.0], [0.94786896, 0.05213104, 0.0]), ([0.21868242, 0.78131758, 0.0], [0.94786896, 0.05213104, 0.0]), ([0.21868242, 0.78131758, 0.0], [0.94786896, 0.05213104, 0.0]), ([0.21868242, 0.78131758, 0.0], [0.94786896, 0.05213104, 0.0]), ([0.21868242, 0.78131758, 0.0], [0.94786896, 0.05213104, 0.0]), ([0.21868242, 0.78131758, 0.0], [0.94786896, 0.05213104, 0.0]), ([0.21868242, 0.78131758, 0.0], [0.94786896, 0.05213104, 0.0]), ([0.21868242, 0.78131758, 0.0], [0.94786896, 0.05213104, 0.0]), ([0.21868242, 0.78131758, 0.0], [0.94786896, 0.05213104, 0.0]), ([0.21868242, 0.78131758, 0.0], [0.94786896, 0.05213104, 0.0])]"
497,"[([0.23895076, 0.71656216, 0.04448707], [0.79815609, 0.04722284, 0.15462107]), ([0.23895076, 0.71656216, 0.04448707], [0.79815609, 0.04722284, 0.15462107]), ([0.23895076, 0.71656216, 0.04448707], [0.79815609, 0.04722284, 0.15462107]), ([0.23895076, 0.71656216, 0.04448707], [0.79815609, 0.04722284, 0.15462107]), ([0.23895076, 0.71656216, 0.04448707], [0.79815609, 0.04722284, 0.15462107]), ([0.23895076, 0.71656216, 0.04448707], [0.79815609, 0.04722284, 0.15462107]), ([0.23895076, 0.71656216, 0.04448707], [0.79815609, 0.04722284, 0.15462107]), ([0.23895076, 0.71656216, 0.04448707], [0.79815609, 0.04722284, 0.15462107]), ([0.23895076, 0.71656216, 0.04448707], [0.79815609, 0.04722284, 0.15462107]), ([0.23895076, 0.71656216, 0.04448707], [0.79815609, 0.04722284, 0.15462107])]"
498,"[([0.28779187, 0.71220813, 0.0], [0.22481263, 0.0, 0.77518737]), ([0.28779187, 0.71220813, 0.0], [0.22481263, 0.0, 0.77518737]), ([0.28779187, 0.71220813, 0.0], [0.22481263, 0.0, 0.77518737]), ([0.28779187, 0.71220813, 0.0], [0.22481263, 0.0, 0.77518737]), ([0.28779187, 0.71220813, 0.0], [0.22481263, 0.0, 0.77518737]), ([0.28779187, 0.71220813, 0.0], [0.22481263, 0.0, 0.77518737]), ([0.28779187, 0.71220813, 0.0], [0.22481263, 0.0, 0.77518737]), ([0.28779187, 0.71220813, 0.0], [0.22481263, 0.0, 0.77518737]), ([0.28779187, 0.71220813, 0.0], [0.22481263, 0.0, 0.77518737]), ([0.28779187, 0.71220813, 0.0], [0.22481263, 0.0, 0.77518737])]"
499,"[([0.0, 0.17000823, 0.82999177], [0.0, 0.24752938, 0.75247062]), ([0.0, 0.17000823, 0.82999177], [0.0, 0.24752938, 0.75247062]), ([0.0, 0.17000823, 0.82999177], [0.0, 0.24752938, 0.75247062]), ([0.0, 0.17000823, 0.82999177], [0.0, 0.24752938, 0.75247062]), ([0.0, 0.17000823, 0.82999177], [0.0, 0.24752938, 0.75247062]), ([0.0, 0.17000823, 0.82999177], [0.0, 0.24752938, 0.75247062]), ([0.0, 0.17000823, 0.82999177], [0.0, 0.24752938, 0.75247062]), ([0.0, 0.17000823, 0.82999177], [0.0, 0.24752938, 0.75247062]), ([0.0, 0.17000823, 0.82999177], [0.0, 0.24752938, 0.75247062]), ([0.0, 0.17000823, 0.82999177], [0.0, 0.24752938, 0.75247062])]"
500,"[([0.84817464, 0.0, 0.15182536], [0.84574511, 0.15425489, 0.0]), ([0.84817464, 0.0, 0.15182536], [0.84574511, 0.15425489, 0.0]), ([0.84817464, 0.0, 0.15182536], [0.84574511, 0.15425489, 0.0]), ([0.84817464, 0.0, 0.15182536], [0.84574511, 0.15425489, 0.0]), ([0.84817464, 0.0, 0.15182536], [0.84574511, 0.15425489, 0.0]), ([0.84817464, 0.0, 0.15182536], [0.84574511, 0.15425489, 0.0]), ([0.84817464, 0.0, 0.15182536], [0.84574511, 0.15425489, 0.0]), ([0.84817464, 0.0, 0.15182536], [0.84574511, 0.15425489, 0.0]), ([0.84817464, 0.0, 0.15182536], [0.84574511, 0.15425489, 0.0]), ([0.84817464, 0.0, 0.15182536], [0.84574511, 0.15425489, 0.0])]"
501,"[([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0])]"
502,"[([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0])]"
503,"[([0.44044784, 0.0, 0.55955216], [0.87338047, 0.12661953, 0.0]), ([0.44044784, 0.0, 0.55955216], [0.87338047, 0.12661953, 0.0]), ([0.44044784, 0.0, 0.55955216], [0.87338047, 0.12661953, 0.0]), ([0.44044784, 0.0, 0.55955216], [0.87338047, 0.12661953, 0.0]), ([0.44044784, 0.0, 0.55955216], [0.87338047, 0.12661953, 0.0]), ([0.44044784, 0.0, 0.55955216], [0.87338047, 0.12661953, 0.0]), ([0.44044784, 0.0, 0.55955216], [0.87338047, 0.12661953, 0.0]), ([0.44044784, 0.0, 0.55955216], [0.87338047, 0.12661953, 0.0]), ([0.44044784, 0.0, 0.55955216], [0.87338047, 0.12661953, 0.0]), ([0.44044784, 0.0, 0.55955216], [0.87338047, 0.12661953, 0.0])]"
504,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
505,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.5354934, 0.4645066], [0.0, 0.07170056, 0.92829944]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.5354934, 0.4645066], [0.0, 0.07170056, 0.92829944]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.5354934, 0.4645066], [0.0, 0.07170056, 0.92829944]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
506,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.31178536, 0.0, 0.68821464], [0.62426735, 0.37573265, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.31178536, 0.0, 0.68821464], [0.62426735, 0.37573265, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.31178536, 0.0, 0.68821464], [0.62426735, 0.37573265, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
507,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
508,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
509,"[([0.29517241, 0.0, 0.70482759], [0.51882182, 0.48117818, 0.0]), ([0.29517241, 0.0, 0.70482759], [0.51882182, 0.48117818, 0.0]), ([0.29517241, 0.0, 0.70482759], [0.51882182, 0.48117818, 0.0]), ([0.29517241, 0.0, 0.70482759], [0.51882182, 0.48117818, 0.0]), ([0.29517241, 0.0, 0.70482759], [0.51882182, 0.48117818, 0.0]), ([0.29517241, 0.0, 0.70482759], [0.51882182, 0.48117818, 0.0]), ([0.29517241, 0.0, 0.70482759], [0.51882182, 0.48117818, 0.0]), ([0.29517241, 0.0, 0.70482759], [0.51882182, 0.48117818, 0.0]), ([0.29517241, 0.0, 0.70482759], [0.51882182, 0.48117818, 0.0]), ([0.29517241, 0.0, 0.70482759], [0.51882182, 0.48117818, 0.0])]"
510,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
511,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
512,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
513,"[([0.46388254, 0.53611746, 0.0], [0.67702473, 0.0, 0.32297527]), ([0.46388254, 0.53611746, 0.0], [0.67702473, 0.0, 0.32297527]), ([0.46388254, 0.53611746, 0.0], [0.67702473, 0.0, 0.32297527]), ([0.46388254, 0.53611746, 0.0], [0.67702473, 0.0, 0.32297527]), ([0.46388254, 0.53611746, 0.0], [0.67702473, 0.0, 0.32297527]), ([0.46388254, 0.53611746, 0.0], [0.67702473, 0.0, 0.32297527]), ([0.46388254, 0.53611746, 0.0], [0.67702473, 0.0, 0.32297527]), ([0.46388254, 0.53611746, 0.0], [0.67702473, 0.0, 0.32297527]), ([0.46388254, 0.53611746, 0.0], [0.67702473, 0.0, 0.32297527]), ([0.46388254, 0.53611746, 0.0], [0.67702473, 0.0, 0.32297527])]"
514,"[([0.20714595, -0.0, 0.79285405], [0.29166003, 0.70833997, 0.0]), ([0.20714595, -0.0, 0.79285405], [0.29166003, 0.70833997, 0.0]), ([0.20714595, -0.0, 0.79285405], [0.29166003, 0.70833997, 0.0]), ([0.20714595, -0.0, 0.79285405], [0.29166003, 0.70833997, 0.0]), ([0.20714595, -0.0, 0.79285405], [0.29166003, 0.70833997, 0.0]), ([0.20714595, -0.0, 0.79285405], [0.29166003, 0.70833997, 0.0]), ([0.20714595, -0.0, 0.79285405], [0.29166003, 0.70833997, 0.0]), ([0.20714595, -0.0, 0.79285405], [0.29166003, 0.70833997, 0.0]), ([0.20714595, -0.0, 0.79285405], [0.29166003, 0.70833997, 0.0]), ([0.20714595, -0.0, 0.79285405], [0.29166003, 0.70833997, 0.0])]"
515,"[([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0])]"
516,"[([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0])]"
517,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
518,"[([0.94976606, 0.0, 0.05023394], [0.46397793, 0.53602207, 0.0]), ([0.94976606, 0.0, 0.05023394], [0.46397793, 0.53602207, 0.0]), ([0.94976606, 0.0, 0.05023394], [0.46397793, 0.53602207, 0.0]), ([0.94976606, 0.0, 0.05023394], [0.46397793, 0.53602207, 0.0]), ([0.94976606, 0.0, 0.05023394], [0.46397793, 0.53602207, 0.0]), ([0.94976606, 0.0, 0.05023394], [0.46397793, 0.53602207, 0.0]), ([0.94976606, 0.0, 0.05023394], [0.46397793, 0.53602207, 0.0]), ([0.94976606, 0.0, 0.05023394], [0.46397793, 0.53602207, 0.0]), ([0.94976606, 0.0, 0.05023394], [0.46397793, 0.53602207, 0.0]), ([0.94976606, 0.0, 0.05023394], [0.46397793, 0.53602207, 0.0])]"
519,"[([0.22551448, 0.77448552, 0.0], [0.79896999, 0.0, 0.20103001]), ([0.22551448, 0.77448552, 0.0], [0.79896999, 0.0, 0.20103001]), ([0.22551448, 0.77448552, 0.0], [0.79896999, 0.0, 0.20103001]), ([0.22551448, 0.77448552, 0.0], [0.79896999, 0.0, 0.20103001]), ([0.22551448, 0.77448552, 0.0], [0.79896999, 0.0, 0.20103001]), ([0.22551448, 0.77448552, 0.0], [0.79896999, 0.0, 0.20103001]), ([0.22551448, 0.77448552, 0.0], [0.79896999, 0.0, 0.20103001]), ([0.22551448, 0.77448552, 0.0], [0.79896999, 0.0, 0.20103001]), ([0.22551448, 0.77448552, 0.0], [0.79896999, 0.0, 0.20103001]), ([0.22551448, 0.77448552, 0.0], [0.79896999, 0.0, 0.20103001])]"
520,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
521,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
522,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
523,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
524,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
